Datum,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode
05/04/2012,1,5.6375,10,
06/04/2012,7,6.2,18,61
07/04/2012,4,3.7125,19,
08/04/2012,2,5.75,10,
09/04/2012,8,6.5125,10,58
10/04/2012,8,10.5875,10,61
11/04/2012,7,10.475,12,
12/04/2012,6,9.575,12,81
13/04/2012,7,8.725,10,
14/04/2012,6,8.8125,8,25
15/04/2012,7,8.075,10,21
16/04/2012,4,7.5,16,80
17/04/2012,5,8.0375,12,
18/04/2012,6,9.6125,10,
19/04/2012,2,14.2375,14,
20/04/2012,6,9.225,10,95
21/04/2012,6,12.2,10,91
22/04/2012,6,9.9875,10,80
23/04/2012,6,9.95,10,81
24/04/2012,7,10,8,61
25/04/2012,6,11.6375,12,
26/04/2012,6,14.1875,14,60
27/04/2012,5,14.925,12,25
28/04/2012,6,9.5125,18,61
29/04/2012,7,11.4625,23,
30/04/2012,3,16.2375,8,
01/05/2012,5,13.4125,19,
02/05/2012,1,13.45,12,
03/05/2012,6,16.6,8,
04/05/2012,7,12.65,10,80
05/05/2012,2,10.5,8,
06/05/2012,5,8.6,8,
07/05/2012,7,7.575,6,61
08/05/2012,6,16.075,8,
09/05/2012,6,16.85,10,81
10/05/2012,7,17.85,12,61
11/05/2012,5,16.525,19,
12/05/2012,5,9.3875,23,80
13/05/2012,6,11.0125,10,
14/05/2012,6,14.525,12,
15/05/2012,7,11.45,10,
16/05/2012,6,8.8875,19,80
17/05/2012,4,10.8125,18,3
18/05/2012,6,16.2125,10,
19/05/2012,5,17.7625,6,
20/05/2012,6,18.475,10,
21/05/2012,5,18.514285,14,
22/05/2012,4,19.2,12,
23/05/2012,4,18.2375,14,
24/05/2012,0,18.8625,12,
25/05/2012,0,19.85,10,
26/05/2012,4,21.45,8,
27/05/2012,1,19.875,10,
28/05/2012,2,22.8375,14,
29/05/2012,4,15.35,12,
30/05/2012,6,12.9375,14,
31/05/2012,7,13.2625,10,61
01/06/2012,4,12.8875,19,25
02/06/2012,4,12.4625,16,25
03/06/2012,7,12.35,12,
04/06/2012,7,13.2125,14,
05/06/2012,5,13.2125,16,25
06/06/2012,7,13.8375,10,61
07/06/2012,7,15.1875,10,51
08/06/2012,4,19.3375,12,95
09/06/2012,6,14.6,14,61
10/06/2012,6,15,16,51
11/06/2012,3,16.525,8,
12/06/2012,7,14.1125,6,63
13/06/2012,4,15.1625,12,
14/06/2012,6,14.05,12,
15/06/2012,7,18.3125,8,63
16/06/2012,6,18.4625,10,25
17/06/2012,6,16.9625,14,25
18/06/2012,6,19.5875,19,95
19/06/2012,6,17.3125,6,
20/06/2012,6,17.65,12,
21/06/2012,4,18.5125,16,
22/06/2012,4,18.325,14,29
23/06/2012,6,16.8875,12,80
24/06/2012,8,12.875,12,63
25/06/2012,6,13.8875,18,80
26/06/2012,6,14.3,18,20
27/06/2012,8,14.5625,10,
28/06/2012,6,18.2625,8,
29/06/2012,6,22.75,8,95
30/06/2012,5,23.1375,10,
01/07/2012,4,19.5125,14,
02/07/2012,6,19.4375,10,
03/07/2012,3,20.5375,12,
04/07/2012,5,19.95,12,
05/07/2012,7,17.2625,12,10
06/07/2012,7,18.5375,10,60
07/07/2012,7,20.7875,4,
08/07/2012,5,22.975,10,95
09/07/2012,7,16.5,16,61
10/07/2012,6,18.825,14,1
11/07/2012,6,17.15,14,29
12/07/2012,5,15.4875,14,81
13/07/2012,6,17.0875,6,21
14/07/2012,6,17.9125,19,25
15/07/2012,5,16.375,16,25
16/07/2012,5,16.875,16,80
17/07/2012,5,17.1375,18,80
18/07/2012,7,16.95,6,63
19/07/2012,7,15.8125,16,81
20/07/2012,6,15.25,16,80
21/07/2012,6,16.1625,16,
22/07/2012,4,18.325,12,
23/07/2012,2,22.483333,12,
25/07/2012,1,25.65,8,
26/07/2012,1,22.5875,8,
27/07/2012,1,26.075,10,
28/07/2012,7,18.95,14,63
29/07/2012,7,16.0375,8,61
30/07/2012,6,15.1875,10,95
31/07/2012,5,17.1625,12,
01/08/2012,6,21.0625,6,
02/08/2012,6,22.725,10,29
03/08/2012,4,20.6875,10,91
04/08/2012,6,18.225,6,61
05/08/2012,6,21.6125,4,
06/08/2012,5,19.575,16,80
07/08/2012,6,17.3125,14,80
08/08/2012,4,17.9,16,80
09/08/2012,5,18.35,12,
10/08/2012,6,17.3,14,25
11/08/2012,2,18.85,10,
12/08/2012,1,19.7875,12,
13/08/2012,2,20.0375,14,
14/08/2012,2,20.1625,12,
15/08/2012,1,20.4,14,
16/08/2012,6,17.325,10,63
17/08/2012,5,21.9375,8,
18/08/2012,6,27.525,8,
19/08/2012,2,26.875,8,
20/08/2012,3,26.15,16,
21/08/2012,6,20.8125,6,
22/08/2012,4,20.0125,18,
23/08/2012,5,19.8375,18,80
24/08/2012,7,16.2625,4,61
25/08/2012,6,18.8625,8,80
26/08/2012,6,17.325,14,95
27/08/2012,2,17.8625,12,
28/08/2012,7,19.5875,8,61
29/08/2012,4,20.6625,8,3
30/08/2012,7,19.2375,6,
31/08/2012,3,17.2875,14,
01/09/2012,6,16.6,12,
02/09/2012,6,19.15,14,
03/09/2012,4,19.475,12,
04/09/2012,4,20.5375,14,
05/09/2012,6,17.1375,14,80
06/09/2012,7,16.1125,14,
07/09/2012,7,16.125,12,58
08/09/2012,5,18.4625,16,51
09/09/2012,4,21.075,6,
10/09/2012,4,23.125,12,
11/09/2012,7,17.0875,12,61
12/09/2012,4,13.9625,12,80
13/09/2012,3,15.1,8,
14/09/2012,8,13.7125,16,61
15/09/2012,6,15.625,18,80
16/09/2012,3,18.35,12,
17/09/2012,4,17.4375,14,25
18/09/2012,6,15.0375,14,80
19/09/2012,5,10.6375,16,81
20/09/2012,6,11.4875,12,80
21/09/2012,7,14.25,14,21
22/09/2012,5,11.5,14,25
23/09/2012,4,13.65,10,
24/09/2012,8,10.4125,16,61
25/09/2012,7,14.925,10,80
26/09/2012,7,12.5625,6,61
27/09/2012,7,13.2,10,61
28/09/2012,6,13.5625,12,
29/09/2012,5,13.2625,16,25
30/09/2012,4,13.875,14,25
01/10/2012,7,13.8625,10,
02/10/2012,6,15.1625,10,10
03/10/2012,7,14.175,12,65
04/10/2012,7,10.45,10,80
05/10/2012,7,9.7375,14,61
08/10/2012,4,12.4375,12,80
09/10/2012,1,10.9875,19,80
10/10/2012,5,10.1,12,80
11/10/2012,4,11.4375,6,
12/10/2012,6,10.1375,10,61
15/10/2012,6,9.5875,10,51
16/10/2012,7,10.8875,12,61
17/10/2012,7,12.1,12,21
18/10/2012,6,16.775,8,
19/10/2012,3,19.35,6,
22/10/2012,8,12.675,8,10
23/10/2012,8,11.8875,8,51
24/10/2012,8,10.9875,6,51
25/10/2012,6,8.7375,16,80
26/10/2012,5,5.1875,8,
29/10/2012,8,3.625,14,61
30/10/2012,4,7.0625,8,25
31/10/2012,6,7.95,10,10
01/11/2012,7,5.8125,10,
02/11/2012,7,7.475,12,21
05/11/2012,7,6.5875,10,61
06/11/2012,6,7.45,14,80
07/11/2012,7,10.3,16,51
08/11/2012,7,9.6625,16,80
09/11/2012,7,9.5,8,20
12/11/2012,6,7.3125,12,80
13/11/2012,7,7.2,8,10
14/11/2012,8,9.6625,6,10
15/11/2012,7,8.7125,6,5
16/11/2012,7,-0.275,6,10
19/11/2012,3,6.125,8,3
20/11/2012,6,7.675,8,10
21/11/2012,8,6.1875,12,10
22/11/2012,4,9.1,14,3
23/11/2012,7,6.7,10,61
26/11/2012,6,8.1625,10,
27/11/2012,7,7.625,8,20
28/11/2012,8,5.325,8,51
29/11/2012,7,3.4625,14,61
30/11/2012,2,0.725,10,
03/12/2012,8,1.033333,8,10
04/12/2012,7,1.375,8,69
05/12/2012,2,-4.7875,10,
06/12/2012,1,-4.45,8,
07/12/2012,4,-1.7875,8,10
10/12/2012,8,0.1875,18,71
11/12/2012,6,-1.8625,14,
12/12/2012,3,-5.7375,4,10
13/12/2012,7,-2.0625,4,78
14/12/2012,7,-2.6875,10,10
17/12/2012,8,4.1875,4,47
18/12/2012,8,3.6375,10,61
19/12/2012,7,2.8625,6,20
20/12/2012,7,2.0875,12,5
21/12/2012,7,-0.2125,10,13
30/04/2013,3,11.116666,15,0
01/05/2013,0,9.9,11,
02/05/2013,1,11.0375,12,
03/05/2013,0,12.9125,9,
04/05/2013,0,17.95,18,
05/05/2013,3,16.2125,10,
06/05/2013,0,15.675,8,
07/05/2013,1,17.4125,10,21
08/05/2013,4,18.8125,9,21
09/05/2013,7,16.125,11,21
10/05/2013,5,15.5,12,21
11/05/2013,7,15.4125,11,
12/05/2013,7,11.7125,12,61
13/05/2013,7,11.4375,10,65
14/05/2013,5,12.6,10,21
15/05/2013,4,20.5375,10,61
16/05/2013,0,16.1625,13,5
17/05/2013,0,21.3125,11,5
18/05/2013,7,13.85,12,10
19/05/2013,8,13.05,5,20
20/05/2013,7,15.775,8,21
21/05/2013,7,12.525,9,65
22/05/2013,7,9.0625,23,63
23/05/2013,5,10.525,8,61
24/05/2013,5,12.5,8,61
25/05/2013,7,11.3375,11,63
26/05/2013,7,14.1625,15,63
27/05/2013,6,14.7875,10,
28/05/2013,6,15.4,10,20
29/05/2013,7,13.6625,14,61
30/05/2013,4,16.125,11,21
31/05/2013,3,17.65,12,
01/06/2013,3,20.3875,10,21
02/06/2013,2,14.975,18,
03/06/2013,0,17.35,13,
04/06/2013,3,17.1625,15,
05/06/2013,4,19.0875,9,
06/06/2013,0,20.85,12,
07/06/2013,0,19.7,8,
08/06/2013,1,16.9625,9,
09/06/2013,4,15.8875,7,
10/06/2013,2,17.725,8,0
11/06/2013,2,16.6625,9,
12/06/2013,5,22.35,7,
14/06/2013,2,16.7125,16,0
15/06/2013,6,17.0875,27,61
16/06/2013,7,15.5875,16,21
17/06/2013,0,17.9,8,
18/06/2013,1,20.05,10,0
19/06/2013,6,23.5375,10,63
20/06/2013,2,21.8375,10,
21/06/2013,7,19.575,14,63
22/06/2013,6,19.7375,10,
23/06/2013,6,17.5375,10,21
24/06/2013,7,15.95,12,63
25/06/2013,7,15.175,10,21
26/06/2013,7,13.825,18,61
27/06/2013,7,12.55,10,61
28/06/2013,7,13.05,10,61
29/06/2013,6,14.8375,16,61
30/06/2013,7,14.0125,15,63
01/07/2013,6,17.8375,15,20
02/07/2013,3,17.3125,10,
03/07/2013,7,21.075,6,61
04/07/2013,7,18.85,7,20
05/07/2013,5,19.975,12,
06/07/2013,0,18.9625,8,
07/07/2013,0,21.375,9,
08/07/2013,0,22.725,10,5
09/07/2013,0,23.275,8,
10/07/2013,2,19.6875,13,5
11/07/2013,0,21.375,12,5
12/07/2013,0,20.2875,7,
13/07/2013,1,20.125,12,
14/07/2013,5,17.6875,15,5
15/07/2013,6,18.7375,12,
16/07/2013,1,21.1875,10,
17/07/2013,5,22.5125,8,
18/07/2013,1,23.25,11,5
19/07/2013,3,22.475,16,5
20/07/2013,0,23.1875,8,
21/07/2013,0,26.375,8,
22/07/2013,0,26.1,9,
23/07/2013,0,24.95,12,
24/07/2013,3,24.075,11,
25/07/2013,2,23.0875,9,
26/07/2013,3,27.2625,6,
27/07/2013,1,26.1625,10,
28/07/2013,4,24.8875,13,61
29/07/2013,1,22.7875,10,
30/07/2013,5,21.075,13,21
31/07/2013,5,20.275,16,65
01/08/2013,6,23.4,7,21
02/08/2013,0,31.4375,7,
03/08/2013,4,23.3625,11,63
04/08/2013,3,23.05,8,
05/08/2013,0,25.8,10,
06/08/2013,5,22.225,13,
07/08/2013,4,19.2125,8,
08/08/2013,7,16.975,12,20
09/08/2013,4,20.3375,10,21
10/08/2013,7,19.3625,12,61
11/08/2013,7,16.3875,9,61
12/08/2013,7,16.45,11,63
13/08/2013,3,16.4,16,95
14/08/2013,4,18.2625,18,61
15/08/2013,3,19.8,8,
16/08/2013,4,23.575,11,0
17/08/2013,6,20.55,7,0
18/08/2013,7,18.5875,10,63
19/08/2013,5,18.4875,8,
20/08/2013,7,17.775,8,61
21/08/2013,5,20.125,8,
22/08/2013,4,21.6625,8,
23/08/2013,1,22.0375,14,
24/08/2013,0,20.85,16,5
25/08/2013,0,21.3875,16,5
26/08/2013,0,20.125,15,5
27/08/2013,1,21.0875,12,
28/08/2013,0,21.3,7,
29/08/2013,3,20.2125,11,
30/08/2013,6,19.7875,8,5
31/08/2013,5,18.35,16,21
01/09/2013,7,15.8625,16,61
02/09/2013,7,16.575,17,63
03/09/2013,7,18.225,11,21
04/09/2013,7,18.125,5,
05/09/2013,0,21.7,8,
06/09/2013,0,24.7,9,
07/09/2013,6,22.7625,7,
08/09/2013,7,20.1625,8,61
09/09/2013,8,11.575,11,63
10/09/2013,6,13.5875,11,65
11/09/2013,6,13.9,8,61
12/09/2013,6,16.1125,6,61
13/09/2013,6,17.4375,5,21
14/09/2013,5,17.625,10,63
15/09/2013,7,14.8625,10,21
16/09/2013,3,13.1375,13,21
17/09/2013,5,13.1375,10,63
18/09/2013,4,13.05,9,
19/09/2013,5,14.8375,11,63
20/09/2013,7,13.525,6,
21/09/2013,7,15.35,9,
22/09/2013,6,17.1375,14,21
23/09/2013,7,17.3125,14,21
24/09/2013,8,15.7375,10,
25/09/2013,6,13.5375,7,61
26/09/2013,1,12.9875,12,
27/09/2013,5,13.0125,8,21
28/09/2013,0,13.1,8,
29/09/2013,3,14.175,12,
30/09/2013,1,12.825,14,
01/10/2013,0,12.9125,13,5
02/10/2013,1,12.7,10,
03/10/2013,0,11.7625,12,5
04/10/2013,5,11.2,8,63
05/10/2013,7,15.575,8,20
06/10/2013,7,15.25,6,
07/10/2013,1,16.275,7,
08/10/2013,6,15.1125,8,61
09/10/2013,7,14.3125,10,21
10/10/2013,5,10.975,6,
11/10/2013,7,13.8625,20,10
12/10/2013,8,13.025,21,63
13/10/2013,5,10.8625,5,
14/10/2013,2,12.525,6,
15/10/2013,7,10.6625,4,63
16/10/2013,8,12.275,7,
17/10/2013,7,12,15,65
18/10/2013,1,9.075,9,
19/10/2013,7,9.45,9,
20/10/2013,7,15.1875,8,21
21/10/2013,7,14.2625,8,61
22/10/2013,2,17.6375,7,
23/10/2013,6,17.675,9,
24/10/2013,5,12.6875,12,61
25/10/2013,7,11.8875,7,61
26/10/2013,5,16.775,10,21
27/10/2013,6,14.9875,16,65
28/10/2013,7,14.3625,29,63
29/10/2013,7,10.775,17,63
30/10/2013,6,10.4375,10,61
31/10/2013,5,11.1625,13,21
01/11/2013,8,10.625,9,63
02/11/2013,8,8.8875,3,63
03/11/2013,6,10.7,15,21
04/11/2013,7,6.8375,7,63
05/11/2013,4,8.9,12,61
06/11/2013,4,8.1375,12,63
07/11/2013,6,9.5,10,61
08/11/2013,3,9.325,9,
09/11/2013,5,7.7,16,63
10/11/2013,2,6.9875,12,63
11/11/2013,2,8.3125,5,
12/11/2013,7,5.9375,9,61
13/11/2013,1,8.8,12,0
14/11/2013,5,6.9375,9,21
15/11/2013,7,6.45,6,21
16/11/2013,8,8.875,12,
17/11/2013,2,8.8875,8,0
18/11/2013,7,6.65,5,63
19/11/2013,8,5.8375,8,61
20/11/2013,6,3.85,6,
21/11/2013,2,3.275,8,10
22/11/2013,7,5.375,10,21
23/11/2013,3,4.9125,6,
24/11/2013,0,4.6,16,
25/11/2013,0,3.7,10,
26/11/2013,2,2.3125,6,
27/11/2013,8,7.3125,12,61
28/11/2013,2,8.025,18,
29/11/2013,8,5.9875,11,63
30/11/2013,7,5.525,10,20
01/12/2013,5,8.6625,20,61
02/12/2013,0,3.0625,4,10
03/12/2013,8,1.7125,6,28
04/12/2013,7,5.85,11,63
05/12/2013,7,4.4625,24,63
06/12/2013,6,1.7875,25,73
07/12/2013,5,1,11,22
08/12/2013,8,6.975,16,63
09/12/2013,7,9.2375,10,45
10/12/2013,7,7.1875,8,61
11/12/2013,7,5.025,9,10
12/12/2013,8,2.525,8,28
13/12/2013,7,3.5375,6,61
14/12/2013,7,3.0125,7,61
15/12/2013,8,7.925,12,61
16/12/2013,8,8.775,12,
17/12/2013,8,4.95,8,61
18/12/2013,7,6.85,8,10
19/12/2013,7,7.4,10,63
20/12/2013,7,5.2875,10,61
21/12/2013,8,6.5625,13,63
22/12/2013,7,8.1375,12,61
23/12/2013,3,5.4875,10,
24/12/2013,7,11.4375,18,61
25/12/2013,6,8.5625,13,21
26/12/2013,6,3.775,6,28
27/12/2013,7,5.7625,15,63
28/12/2013,7,7.0625,9,21
29/12/2013,7,5.7125,9,63
30/12/2013,4,4.75,11,10
31/12/2013,4,5.0375,7,
01/01/2014,5,4.5125,8,63
02/01/2014,7,6.25,9,63
03/01/2014,7,6.8375,10,63
04/01/2014,5,6.9375,11,
05/01/2014,7,6.1875,11,63
06/01/2014,7,7.9125,11,65
07/01/2014,7,10.4375,13,
08/01/2014,7,8.6375,15,63
09/01/2014,7,9.6125,16,61
10/01/2014,7,6.6375,17,61
11/01/2014,7,5.5875,18,63
12/01/2014,2,5.525,16,21
13/01/2014,8,3.1375,10,69
14/01/2014,6,4.225,6,28
15/01/2014,7,3.228571,7,28
16/01/2014,8,2.7375,9,63
17/01/2014,7,6.7375,4,61
18/01/2014,7,5.8875,8,61
19/01/2014,7,2.8625,19,10
20/01/2014,8,0.3875,13,61
21/01/2014,7,-0.65,7,77
22/01/2014,8,-3.1125,14,22
23/01/2014,8,-3.1875,11,22
24/01/2014,2,-5.1625,13,10
25/01/2014,5,-7.0375,8,
26/01/2014,1,-8.475,10,10
27/01/2014,5,0.7,9,69
28/01/2014,7,-0.2625,10,10
29/01/2014,7,-5.05,13,77
30/01/2014,7,-4.4875,8,77
31/01/2014,8,-3.6875,7,10
01/02/2014,7,3.225,10,63
02/02/2014,0,5.4875,8,
03/02/2014,1,3.475,8,10
04/02/2014,5,3.925,6,10
05/02/2014,4,3.675,8,10
06/02/2014,7,7.875,11,20
07/02/2014,7,8.475,15,63
08/02/2014,7,6.2875,12,61
09/02/2014,5,6.7125,15,63
10/02/2014,2,6.6375,9,
11/02/2014,7,4.925,12,61
12/02/2014,4,6.1,13,10
13/02/2014,5,7.45,13,
14/02/2014,5,5.2125,9,10
15/02/2014,5,11.5,15,
16/02/2014,7,6.0625,17,63
17/02/2014,0,6.6875,9,
18/02/2014,7,7.8,8,10
19/02/2014,7,6.325,8,61
20/02/2014,6,9.1,11,10
21/02/2014,7,7.5125,11,61
22/02/2014,7,5.925,11,21
23/02/2014,1,8.625,12,
24/02/2014,1,9.4125,11,
25/02/2014,1,10.475,7,
26/02/2014,5,10.1875,8,
27/02/2014,1,8.8875,7,10
28/02/2014,7,6.1875,6,61
01/03/2014,2,5.075,9,10
02/03/2014,6,6.5625,9,10
03/03/2014,0,9.1875,10,5
04/03/2014,7,6.6875,7,10
05/03/2014,7,4.6875,7,28
06/03/2014,3,8.925,9,10
07/03/2014,6,11.275,10,5
08/03/2014,0,9.9375,6,
09/03/2014,0,16.4,9,
10/03/2014,0,15.8,9,
11/03/2014,0,7.85,9,
12/03/2014,0,10.2125,8,0
13/03/2014,0,13.375,10,
14/03/2014,1,9.6125,10,
15/03/2014,4,9.0375,27,
16/03/2014,7,9.3375,24,61
17/03/2014,7,9.5875,18,61
18/03/2014,7,9.6875,16,21
19/03/2014,7,9.45,18,61
20/03/2014,0,16.2625,13,
21/03/2014,7,6.8875,14,63
22/03/2014,5,8.85,11,63
23/03/2014,4,8.3625,10,
24/03/2014,3,7.5625,7,
25/03/2014,2,7.725,10,21
26/03/2014,5,7.85,11,21
27/03/2014,6,5.1,12,
28/03/2014,8,5.4,12,10
29/03/2014,3,9.375,8,10
30/03/2014,0,11.2625,8,28
31/03/2014,7,7.4375,4,45
01/04/2014,8,5.7625,13,10
02/04/2014,2,12.45,8,10
03/04/2014,3,7.6125,15,10
04/04/2014,6,6.45,15,0
05/04/2014,8,9.825,5,61
06/04/2014,7,12.1875,8,63
07/04/2014,7,15.7875,10,63
08/04/2014,7,9.8125,19,61
09/04/2014,7,10.1875,20,21
10/04/2014,7,9.75,4,
11/04/2014,6,12.0625,10,
12/04/2014,4,11.2,12,0
13/04/2014,6,11.0125,21,
14/04/2014,5,8.9,23,61
15/04/2014,0,9.9125,15,
16/04/2014,0,11.3625,9,
17/04/2014,5,14.4,14,
18/04/2014,7,8.2375,11,61
19/04/2014,1,11.125,13,5
20/04/2014,0,13.875,15,5
21/04/2014,4,13.425,15,0
22/04/2014,3,15.45,10,10
23/04/2014,8,9.825,11,21
24/04/2014,8,9.175,11,
25/04/2014,0,13.5625,12,
26/04/2014,0,15.45,11,
27/04/2014,0,16.225,16,
28/04/2014,0,15.8875,11,
29/04/2014,0,18.0875,8,0
30/04/2014,3,18,8,
01/05/2014,4,10.4875,14,
02/05/2014,6,10.225,13,
03/05/2014,3,11.8625,13,
04/05/2014,7,9.6,11,
05/05/2014,8,10.7125,6,21
06/05/2014,7,15.775,9,
07/05/2014,4,14.2125,15,65
08/05/2014,7,12.45,10,63
09/05/2014,6,12.3875,10,61
10/05/2014,7,13.275,12,61
11/05/2014,7,11.5625,12,63
12/05/2014,7,12.7,14,63
13/05/2014,7,11.5625,15,21
14/05/2014,7,11.5625,16,
15/05/2014,2,13.7875,8,
16/05/2014,5,13.8875,9,
17/05/2014,0,16.625,8,0
18/05/2014,4,16.5125,13,
19/05/2014,6,13.7625,8,61
20/05/2014,0,20.725,12,
21/05/2014,2,26.8625,8,
22/05/2014,0,26.375,8,
23/05/2014,7,18.0125,12,65
24/05/2014,2,17.9625,8,
25/05/2014,2,20.4625,11,
26/05/2014,0,19.9625,13,
27/05/2014,7,12.8875,21,21
28/05/2014,7,10.2,22,21
29/05/2014,4,12.7,14,
30/05/2014,0,17.9625,13,
31/05/2014,3,15.9125,15,
01/06/2014,7,13.825,6,21
02/06/2014,0,17.625,9,
03/06/2014,1,20,9,
04/06/2014,1,21.4875,14,
05/06/2014,5,15.0375,18,65
06/06/2014,3,19.3125,12,
07/06/2014,0,17.9625,8,
08/06/2014,6,22.1,12,21
09/06/2014,0,20.6625,10,
10/06/2014,1,25.7875,9,
11/06/2014,7,20.5,8,61
12/06/2014,4,19.55,12,
13/06/2014,7,17.45,18,21
14/06/2014,1,18.9125,13,
15/06/2014,0,19.275,8,
16/06/2014,6,18.3125,10,0
17/06/2014,1,20.375,7,
18/06/2014,3,19.3,13,
19/06/2014,7,15.2875,19,21
20/06/2014,7,15.9875,16,
21/06/2014,6,15.5125,18,61
22/06/2014,5,15.7,19,
23/06/2014,4,16.5,17,
24/06/2014,7,14.3625,7,21
25/06/2014,0,18.4375,10,
26/06/2014,6,17.575,8,63
27/06/2014,4,20.1625,7,95
28/06/2014,6,16.9625,6,95
29/06/2014,7,17.3125,8,61
30/06/2014,3,18.3375,12,
01/07/2014,6,15.6875,14,61
02/07/2014,6,17.1125,15,
03/07/2014,7,20.4,9,
04/07/2014,0,26.9375,10,
05/07/2014,6,24.5875,10,65
06/07/2014,5,25.2375,6,
07/07/2014,5,20.8,10,
08/07/2014,7,19.6,15,63
09/07/2014,0,24.65,24,5
10/07/2014,0,24.757142,18,0
11/07/2014,1,22.9375,18,
12/07/2014,0,20.375,12,
13/07/2014,7,18.6,10,61
14/07/2014,7,19.45,15,63
15/07/2014,6,22.2625,9,
16/07/2014,6,19.4125,7,
17/07/2014,4,22.7625,7,
18/07/2014,1,26.05,10,
19/07/2014,0,28.0625,13,
20/07/2014,3,24.3125,15,
21/07/2014,0,23.4875,19,5
22/07/2014,0,24.9875,14,
23/07/2014,0,25,14,
24/07/2014,0,24.8375,11,
25/07/2014,0,26.325,18,
26/07/2014,6,22.375,10,21
27/07/2014,3,25.55,12,21
28/07/2014,0,24.7625,7,
29/07/2014,0,25.35,10,
30/07/2014,6,22.925,12,
31/07/2014,3,22.4375,12,21
01/08/2014,1,26.725,8,
02/08/2014,2,26.0875,12,
03/08/2014,5,23.0875,9,63
04/08/2014,6,22.5125,8,
05/08/2014,5,23.0875,10,
06/08/2014,0,22.825,10,
07/08/2014,7,20.3125,6,61
08/08/2014,3,22.725,8,
09/08/2014,6,20.1,17,61
10/08/2014,6,23.1,12,
11/08/2014,4,20.075,13,21
12/08/2014,5,16.9125,12,95
13/08/2014,2,20.9375,10,
14/08/2014,7,18.05,10,65
15/08/2014,6,18.3625,8,61
16/08/2014,6,17.2,15,61
17/08/2014,7,15.65,13,61
18/08/2014,6,15.2,15,61
19/08/2014,6,14.0875,12,61
20/08/2014,5,15.675,17,21
